regular_NOCs, PD
Init: players
Step:0
players[147]: Index: 147; Strategy: True; AccPayOffs: 2
players[148]: Index: 148; Strategy: True; AccPayOffs: 4
players[149]: Index: 149; Strategy: True; AccPayOffs: 6
players[150]: Index: 150; Strategy: False; AccPayOffs: 3
players[151]: Index: 151; Strategy: True; AccPayOffs: 2
players[152]: Index: 152; Strategy: True; AccPayOffs: 6
players[153]: Index: 153; Strategy: True; AccPayOffs: 2
players[154]: Index: 154; Strategy: True; AccPayOffs: 3
players[155]: Index: 155; Strategy: True; AccPayOffs: 8
players[156]: Index: 156; Strategy: False; AccPayOffs: 2
players[157]: Index: 157; Strategy: True; AccPayOffs: 1
players[158]: Index: 158; Strategy: False; AccPayOffs: 4
players[159]: Index: 159; Strategy: False; AccPayOffs: 6
players[160]: Index: 160; Strategy: True; AccPayOffs: 4
players[161]: Index: 161; Strategy: True; AccPayOffs: 4
players[162]: Index: 162; Strategy: True; AccPayOffs: 4
players[163]: Index: 163; Strategy: True; AccPayOffs: 0
players[164]: Index: 164; Strategy: False; AccPayOffs: 4
players[165]: Index: 165; Strategy: False; AccPayOffs: 2
players[166]: Index: 166; Strategy: True; AccPayOffs: 1
players[167]: Index: 167; Strategy: True; AccPayOffs: 4
players[168]: Index: 168; Strategy: True; AccPayOffs: 2
players[169]: Index: 169; Strategy: True; AccPayOffs: 6
players[170]: Index: 170; Strategy: True; AccPayOffs: 2
players[171]: Index: 171; Strategy: True; AccPayOffs: 8
players[172]: Index: 172; Strategy: True; AccPayOffs: 6
players[173]: Index: 173; Strategy: False; AccPayOffs: 4
players[174]: Index: 174; Strategy: True; AccPayOffs: 4
players[175]: Index: 175; Strategy: True; AccPayOffs: 1
players[176]: Index: 176; Strategy: True; AccPayOffs: 6
players[177]: Index: 177; Strategy: True; AccPayOffs: 6
players[178]: Index: 178; Strategy: False; AccPayOffs: 4
players[179]: Index: 179; Strategy: True; AccPayOffs: 3
players[180]: Index: 180; Strategy: True; AccPayOffs: 1
players[181]: Index: 181; Strategy: True; AccPayOffs: 2
players[182]: Index: 182; Strategy: True; AccPayOffs: 3
players[183]: Index: 183; Strategy: True; AccPayOffs: 4
players[184]: Index: 184; Strategy: False; AccPayOffs: 2
